"ext","category","description","product","is_project"
lis       ,geology                                                                                                                                                                                                                                                        ,LAS format,,
lnd       ,geography                                                                                                                                                                                                                                                      , Isoline Line Data file (LINES),Izoline                                                                                                                                                                                                                                                        ,
lyr       ,geography                                                                                                                                                                                                                                                      ,ESRI ArcGIS Layer file,ArcGIS                                                                                                                                                                                                                                                         ,
lz        ,archive                                                                                                                                                                                                                                                        ,lzip compressed file,,
mapdoc    ,geography                                                                                                                                                                                                                                                      , NASHA GIS Map Document (Project File),NASHA GIS                                                                                                                                                                                                                                                      ,Project File                                                                                                                                                                                                                                                   
mdb       ,database                                                                                                                                                                                                                                                       ,Access Database,,
mht       ,web                                                                                                                                                                                                                                                            ,html document,,
mid       ,geography                                                                                                                                                                                                                                                      ,MapInfo Interchange,,
mid       ,music                                                                                                                                                                                                                                                          ,MIDI sound file,,
midi      ,music                                                                                                                                                                                                                                                          ,MIDI sound file,,
mif       ,geography                                                                                                                                                                                                                                                      ,MapInfo Interchange,,
mk3d      ,video                                                                                                                                                                                                                                                          ,Matroska media container,,
mka       ,video                                                                                                                                                                                                                                                          ,Matroska media container,,
mks       ,video                                                                                                                                                                                                                                                          ,Matroska media container,,
mkv       ,video                                                                                                                                                                                                                                                          ,Matroska media container,,
mlv       ,video                                                                                                                                                                                                                                                          ,Magic Lantern Video file,,
mp3       ,music                                                                                                                                                                                                                                                          ,MP3 file,,
mp4       ,video                                                                                                                                                                                                                                                          ,Matroska media container,,
mpeg      ,video                                                                                                                                                                                                                                                          ,Matroska media container,,
mpg       ,video                                                                                                                                                                                                                                                          ,Matroska media container,,
mrsid     ,geography                                                                                                                                                                                                                                                      ,LizardTech MrSID Image,ArcGIS                                                                                                                                                                                                                                                         ,
msg       ,office                                                                                                                                                                                                                                                         ,Microsoft Office Format,,
mxd       ,geography                                                                                                                                                                                                                                                      ,ESRI ArcGIS Map Document,ArcGIS                                                                                                                                                                                                                                                         ,Project File                                                                                                                                                                                                                                                   
nc        ,geography                                                                                                                                                                                                                                                      ,netCDF Network Common Data Form,,
odp       ,office                                                                                                                                                                                                                                                         ,Open document format (Impress) like PowerPoint,,
ods       ,office                                                                                                                                                                                                                                                         ,Open document format (Calc) like Excel,,
odt       ,office                                                                                                                                                                                                                                                         ,Open document format (Writer) like Word,,
oga       ,music                                                                                                                                                                                                                                                          ,"Ogg, an open source media container format",,
ogg       ,music                                                                                                                                                                                                                                                          ,"Ogg, an open source media container format",,
ogv       ,music                                                                                                                                                                                                                                                          ,"Ogg, an open source media container format",,
ovr       ,geography                                                                                                                                                                                                                                                      ,ESRI ArcGis Raster,ArcGIS                                                                                                                                                                                                                                                         ,
p3d       ,geology                                                                                                                                                                                                                                                        ,PLOT-3D,,
pas       ,programming                                                                                                                                                                                                                                                    ,Pascal,,
pbm       ,image                                                                                                                                                                                                                                                          ,Portable Bitmap,,
pcx       ,image                                                                                                                                                                                                                                                          ,ZSoft Paintbrush Bitmap,,
pdf       ,office                                                                                                                                                                                                                                                         ,PDF document,,
pds       ,image                                                                                                                                                                                                                                                          ,Image File Format,,
pgd       ,geography                                                                                                                                                                                                                                                      , Isoline Layer Data,Izoline                                                                                                                                                                                                                                                        ,
pgd       ,geography                                                                                                                                                                                                                                                      , Isoline Polygon Data File (POLYGONS),Izoline                                                                                                                                                                                                                                                        ,
pgm       ,image                                                                                                                                                                                                                                                          ,Portable Bitmap,,
pgrid     ,geography                                                                                                                                                                                                                                                      ,ГИС Интегро,,
php       ,programming                                                                                                                                                                                                                                                    ,PHP file,,
pic       ,image                                                                                                                                                                                                                                                          ,IBM Storyboard bitmap file,,
pj4       ,geography                                                                                                                                                                                                                                                      ,Projection file,,
plt       ,geology                                                                                                                                                                                                                                                        ,Golden Software PlotCall,,
ply       ,geography                                                                                                                                                                                                                                                      ,Standford Polygon,,
pm6       ,office                                                                                                                                                                                                                                                         ,Aobe PageMaker File Project ,,
pm65      ,office                                                                                                                                                                                                                                                         ,Aobe PageMaker File Project ,,
pm7       ,office                                                                                                                                                                                                                                                         ,Aobe PageMaker File Project ,,
pmk       ,geography                                                                                                                                                                                                                                                      , Isoline Print template file ,Izoline                                                                                                                                                                                                                                                        ,
png       ,image                                                                                                                                                                                                                                                          ,Image encoded in the Portable Network Graphics format,,
pnm       ,image                                                                                                                                                                                                                                                          ,Portable Bitmap,,
pnt       ,geology                                                                                                                                                                                                                                                        ,Text file format,,
ppm       ,image                                                                                                                                                                                                                                                          ,Portable Bitmap,,
ppt       ,office                                                                                                                                                                                                                                                         ,Microsoft Office Format,,
pptx      ,office                                                                                                                                                                                                                                                         ,Microsoft Office Format,,
prj       ,geography                                                                                                                                                                                                                                                      ,ESRI Projection file,ArcGIS                                                                                                                                                                                                                                                         ,
prn       ,text                                                                                                                                                                                                                                                           ,Text for print,,
property  ,geography                                                                                                                                                                                                                                                      ,ГИС Интегро,,
ps        ,office                                                                                                                                                                                                                                                         ,PostScript document,,
ps        ,office                                                                                                                                                                                                                                                         ,PostScript document,,
psd       ,image                                                                                                                                                                                                                                                          ,Adobe Photoshop Project File,,
psd       ,image                                                                                                                                                                                                                                                          ,Photoshop Document file,,
psp       ,geography                                                                                                                                                                                                                                                      ,электронный паспорт объекта,,
ptd       ,geology                                                                                                                                                                                                                                                        ,Petrel Document,,
py        ,programming                                                                                                                                                                                                                                                    ,Python ,,
qgs       ,geography                                                                                                                                                                                                                                                      ,QGIS file Project,QGIS                                                                                                                                                                                                                                                           ,Project File                                                                                                                                                                                                                                                   
qgz       ,geography                                                                                                                                                                                                                                                      ,QGIS file Project,QGIS                                                                                                                                                                                                                                                           ,Project File                                                                                                                                                                                                                                                   
rar       ,archive                                                                                                                                                                                                                                                        ,TAR archive,,
ras       ,image                                                                                                                                                                                                                                                          ,Sun Raster,,
raw       ,image                                                                                                                                                                                                                                                          ,Raw Binary Lattic,,
rb        ,programming                                                                                                                                                                                                                                                    ,Ruby,,
rgb       ,image                                                                                                                                                                                                                                                          ,Silicon Graphics [SGI] Image,,
rgba      ,image                                                                                                                                                                                                                                                          ,Silicon Graphics [SGI] Image,,
rrd       ,geography                                                                                                                                                                                                                                                      ,Raster Pyramid File (Tiles),,
rst       ,geography                                                                                                                                                                                                                                                      ,Idrisi Raster,,
rtf       ,office                                                                                                                                                                                                                                                         ,Rich text Format,,
s_a       ,geography                                                                                                                                                                                                                                                      ,стили ГИС Интегро,,
s_l       ,geography                                                                                                                                                                                                                                                      ,стили ГИС Интегро,,
sbn       ,geography                                                                                                                                                                                                                                                      ,ESRI SHP file index,ArcGIS                                                                                                                                                                                                                                                         ,
sbx       ,geography                                                                                                                                                                                                                                                      ,ESRI SHP file index,ArcGIS                                                                                                                                                                                                                                                         ,
segd      ,geology                                                                                                                                                                                                                                                        ,SEGY format,,
segy      ,geology                                                                                                                                                                                                                                                        ,SEGY format,,
sgy       ,geology                                                                                                                                                                                                                                                        ,SEGY format,,
